ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist
1438,Kettlebell Seated Two Arm Military Press,Strength,Shoulders,Kettlebell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
1439,Lever Gripless Shrug (VERSION 2),Strength,Back,Leverage machine,Male,Trapezius Upper Fibers ,"Levator Scapulae, Trapezius Middle Fibers"
1440,Plank arm lifts,Strength,Back,Body weight,Female,Rectus Abdominis,Latissimus Dorsi
1441,Dumbbell Over Bench One Arm Reverse Wrist Curl,Strength,Forearms,Dumbbell,Male,Wrist Flexors,
1442,Dip Hold Isometric,Stretching,Chest,Body weight,Male,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Triceps Brachii",
1443,Dumbbell Lying Pronated Grip Maltese Hold Isometric,Stretching,Shoulders,Dumbbell,Male,Deltoid Anterior,
1444,Dumbbell Bent Arm Pullover Hold Isometric,Stretching,Chest,Dumbbell,Male,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii",
1445,Dumbbell RDL Stretch Isometric,Stretching,Hips,Dumbbell,Male,"Adductor Magnus, Gastrocnemius, Gluteus Maximus, Quadriceps, Soleus",
1446,Barbell Zercher Squat Hold Isometric,Stretching,Thighs,Barbell,Male,"Adductor Magnus, Gluteus Maximus, Quadriceps",
1447,Lever Calf Stretch (plate loaded) Isometric,Stretching,Calves,Leverage machine,Male,"Gastrocnemius, Soleus",
1448,Barbell Pullover Hold Isometric,Stretching,Back,Barbell,Male,"Latissimus Dorsi, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Triceps Brachii",
1449,Dumbbell Incline 30 degrees Flye Hold Isometric,Stretching,Chest,Dumbbell,Male,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head",
1450,Dumbbell Flat Flye Hold Isometric,Stretching,Chest,Dumbbell,Male,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",
1451,Lever Seated Dip,Strength,Upper Arms,Leverage machine,Male,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
1452,Lever Seated Crunch,Strength,Waist,Leverage machine,Male,Rectus Abdominis,Obliques
1453,Lever Seated Twist,Strength,Waist,Leverage machine,Male,Obliques,
1454,Lever Seated Shoulder Press,Strength,Shoulders,Leverage machine,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
1455,Lever Chest Press (VERSION 2),Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1456,Barbell Standing Close Grip Military Press,Strength,Shoulders,Barbell,Male,"Deltoid Anterior, Triceps Brachii","Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
1457,Barbell Standing Wide Military Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
1458,EZ Barbell Seated Curls,Strength,Upper Arms,EZ Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis"
1459,Dumbbell Romanian Deadlift,Strength,Hips,Dumbbell,Male,"Gluteus Maximus, Hamstrings","Quadriceps, Soleus"
1460,Walking Lunge,Aerobic,Thighs,Body weight,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1461,Barbell Full Squat (Back POV),Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1462,Barbell Full Squat (Side POV),Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1463,Sled 45┬░ Leg Press (Side POV),Strength,Thighs,Sled machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1464,Sled 45┬░ Leg Press (Back POV),Strength,Thighs,Sled machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1465,45 degree hyperextension (arms in front of chest) (Side-POV),Strength,Hips,Body weight,Female,Gluteus Maximus,"Erector Spinae, Hamstrings"
1466,Twist Hip Lift,Strength,Hips,Body weight,Male,"Gluteus Maximus, Obliques",Hamstrings
1467,Push-up on Forearms,Strength,Upper Arms,Body weight,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
1468,Crab Twist Toe Touch,Strength,Waist,Body weight,Male,"Gluteus Maximus, Hamstrings, Obliques, Rectus Abdominis","Adductor Brevis, Adductor Longus, Adductor Magnus, Deltoid Posterior, Iliopsoas, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae, Triceps Brachii"
1469,Lateral Side Plank (bent leg),Strength,Hips,Body weight,Female,"Gluteus Medius, Tensor Fasciae Latae","Iliopsoas, Obliques"
1470,Lateral Side Plank,Strength,Hips,Body weight,Female,"Gluteus Medius, Tensor Fasciae Latae","Iliopsoas, Obliques, Quadriceps"
1471,Inchworm,Strength,Waist,Body weight,Male,"Deltoid Anterior, Obliques, Rectus Abdominis, Triceps Brachii","Adductor Magnus, Gluteus Maximus, Hamstrings, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Quadriceps, Serratus Anterior, Trapezius Lower Fibers, Trapezius Middle Fibers, Trapezius Upper Fibers, Wrist Extensors, Wrist Flexors"
1472,Forward Jump,Aerobic,Plyometrics,Body weight,Male,,
1473,Backward Jump,Aerobic,Plyometrics,Body weight,Male,,
1474,Bent Leg Kickback (kneeling),Strength,Hips,Body weight,Female,Gluteus Maximus,
1475,Bent Leg Side Kick (kneeling),Strength,Hips,Body weight,Female,Gluteus Medius,Tensor Fasciae Latae
1476,One Leg Squat,Strength,Hips,Body weight,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1477,Straight Leg Kickback (kneeling),Strength,Hips,Body weight,Female,Gluteus Maximus,Hamstrings
1478,Jack Plank,Strength,Waist,Body weight,Female,"Gluteus Medius, Pectoralis Major Sternal Head","Deltoid Anterior, Gluteus Maximus, Obliques, Pectoralis Major Clavicular Head, Tensor Fasciae Latae, Triceps Brachii"
1479,Lever Incline Chest Press (versions 2),Strength,Chest,Leverage machine,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
1480,Biceps Stretch Behind The Back,Stretching,Upper Arms,Body weight,Male,"Biceps Brachii, Brachialis",
1481,Bow Yoga Pose,Stretching,Hips,Body weight,Male,"Erector Spinae, Gluteus Maximus, Hamstrings","Biceps Brachii, Deltoid Posterior, Gastrocnemius, Obliques, Quadriceps, Teres Major"
1482,Cobra Yoga Pose,Stretching,Waist,Body weight,Male,Rectus Abdominis,"Erector Spinae, Gluteus Maximus, Hamstrings"
1483,Full Lotus Yoga Pose,Stretching,Hips,Body weight,Male,"Gluteus Medius, Tibialis Anterior","Gastrocnemius, Sartorius, Tensor Fasciae Latae"
1484,Locust Yoga Pose (Iron Man Pose),Stretching,Back,Body weight,Male,Erector Spinae,"Gluteus Maximus, Hamstrings"
1485,Plow Yoga Pose,Stretching,Waist,Body weight,Male,"Obliques, Rectus Abdominis","Adductor Magnus, Gastrocnemius, Gluteus Maximus, Gluteus Medius, Hamstrings, Latissimus Dorsi, Quadriceps, Tensor Fasciae Latae"
1486,Push-up (With push-up handles),Strength,Chest,Body weight,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1487,Shoulder Stand Yoga Pose,Stretching,Waist,Body weight,Male,"Gluteus Maximus, Hamstrings, Obliques","Deltoid Posterior, Gastrocnemius, Latissimus Dorsi, Quadriceps, Rectus Abdominis"
1488,Shoulder Stretch Behind the Back,Stretching,Shoulders,Body weight,Male,Deltoid Posterior ,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers, Triceps Brachii"
1489,Sissy Squat,Strength,Thighs,Body weight,Male,Quadriceps,
1490,Standing Calf Raise (On a staircase),Strength,Calves,Body weight,Male,Gastrocnemius,Soleus
1491,Supine Spinal Twist Yoga Pose,Stretching,Hips,Body weight,Male,"Erector Spinae, Obliques","Gluteus Medius, Quadriceps, Tensor Fasciae Latae"
1492,Triceps Dip Stretch,Stretching,Upper Arms,Body weight,Male,"Deltoid Anterior, Latissimus Dorsi, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Triceps Brachii",
1493,Wheel Pose Yoga Pose,Stretching,Waist,Body weight,Male,,
1494,Butterfly Yoga Pose,Stretching,Thighs,Body weight,Male,"Brachialis, Sartorius","Adductor Brevis, Adductor Longus, Adductor Magnus, Biceps Brachii, Pectineous"
1495,Oblique Crunch (Version 2),Strength,Waist,Body weight,Male,Obliques,Rectus Abdominis
1496,Sledge Hammer,Strength,Waist,Hammer,Male,"Obliques, Rectus Abdominis","Adductor Brevis, Adductor Longus, Adductor Magnus, Deltoid Anterior, Deltoid Lateral, Iliopsoas, Latissimus Dorsi, Pectoralis Major Clavicular Head, Teres Major"
1497,Barbell Reverse Band Bench Press,Strength,Upper Arms,Band,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
1498,Band Decline Sit-up,Strength,Hips,Band,Male,Iliopsoas,"Quadriceps, Serratus Anterior, Tensor Fasciae Latae"
1499,Band Behind Neck Shoulder Press,Strength,Shoulders,Band,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Trapezius Lower Fibers, Trapezius Middle Fibers, Triceps Brachii"
